"All Cancer Sites Combined"
"SEER Incidence Rates by Age at Diagnosis, 2014-2018"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower 95% Confidence Interval","Rate Upper 95% Confidence Interval"
Female,"Non-Hispanic White","Observed SEER Incidence Rate",10-14,16.7019,0.4388,15.8529,17.5845
Female,"Non-Hispanic White","Observed SEER Incidence Rate",15-19,28.0185,0.5544,26.9423,29.1267
Female,"Non-Hispanic White","Observed SEER Incidence Rate",20-24,48.0699,0.7024,46.7028,49.4667
Female,"Non-Hispanic White","Observed SEER Incidence Rate",25-29,83.4427,0.8929,81.7018,85.2114
Female,"Non-Hispanic White","Observed SEER Incidence Rate",30-34,143.3454,1.1885,141.0254,145.6940
Female,"Non-Hispanic White","Observed SEER Incidence Rate",35-39,215.6081,1.5004,212.6774,218.5692
Female,"Non-Hispanic White","Observed SEER Incidence Rate",40-44,339.7012,1.9032,335.9812,343.4521
Female,"Non-Hispanic White","Observed SEER Incidence Rate",45-49,489.0786,2.1387,484.8958,493.2886
Female,"Non-Hispanic White","Observed SEER Incidence Rate",50-54,664.7743,2.3533,660.1699,669.4029
Female,"Non-Hispanic White","Observed SEER Incidence Rate",55-59,845.7573,2.5813,840.7056,850.8318
Female,"Non-Hispanic White","Observed SEER Incidence Rate",60-64,1098.6778,3.0550,1092.6982,1104.6820
Female,"Non-Hispanic White","Observed SEER Incidence Rate",65-69,1441.8981,3.7426,1434.5719,1449.2524
Female,"Non-Hispanic White","Observed SEER Incidence Rate",70-74,1766.4781,4.7391,1757.2018,1775.7913
Female,"Non-Hispanic White","Observed SEER Incidence Rate",75-79,2005.1299,5.9481,1993.4887,2016.8223
Female,"Non-Hispanic White","Observed SEER Incidence Rate",80-84,2091.4598,6.9868,2077.7879,2105.1992
Female,"Non-Hispanic White","Observed SEER Incidence Rate",85+,1883.2326,5.7720,1871.9366,1894.5800
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",<1,24.3812,0.9752,22.5069,26.3699
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",1-4,22.6529,0.4675,21.7458,23.5881
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",5-9,13.0652,0.3157,12.4537,13.6989
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",10-14,16.7848,0.3543,16.0974,17.4939
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",15-19,26.6347,0.4411,25.7771,27.5135
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",20-24,43.5018,0.5493,42.4318,44.5920
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",25-29,78.4375,0.7251,77.0227,79.8719
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",30-34,134.4143,0.9675,132.5247,136.3242
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",35-39,203.9518,1.2221,201.5634,206.3615
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",40-44,320.3170,1.5559,317.2747,323.3812
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",45-49,462.1885,1.8003,458.6667,465.7306
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",50-54,636.8324,2.0487,632.8232,640.8606
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",55-59,816.2522,2.3046,811.7414,820.7819
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",60-64,1067.1344,2.7731,1061.7059,1072.5837
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",65-69,1401.2179,3.4364,1394.4908,1407.9695
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",70-74,1709.7631,4.3605,1701.2272,1718.3312
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",75-79,1937.2716,5.4687,1926.5678,1948.0201
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",80-84,2024.5745,6.4542,2011.9439,2037.2647
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",85+,1847.2441,5.4406,1836.5959,1857.9387
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",<1,27.9522,0.8701,26.2726,29.7110
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",1-4,23.5610,0.3969,22.7895,24.3520
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",5-9,14.7945,0.2794,14.2519,15.3524
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",10-14,16.9525,0.2972,16.3749,17.5453
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",15-19,25.5637,0.3608,24.8615,26.2808
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",20-24,37.6990,0.4221,36.8762,38.5355
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",25-29,51.4202,0.4830,50.4779,52.3756
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",30-34,72.5107,0.5923,71.3543,73.6811
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",35-39,99.1510,0.7177,97.7493,100.5677
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",40-44,149.2960,0.9038,147.5298,151.0781
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",45-49,260.2165,1.1673,257.9337,262.5145
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",50-54,512.4491,1.6161,509.2864,515.6265
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",55-59,867.3255,2.1283,863.1590,871.5071
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",60-64,1334.6800,2.8437,1329.1122,1340.2653
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",65-69,1915.4006,3.7783,1908.0024,1922.8204
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",70-74,2328.0062,4.9429,2318.3283,2337.7146
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",75-79,2685.6702,6.4869,2672.9710,2698.4148
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",80-84,2890.4812,8.2595,2874.3153,2906.7154
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",85+,2820.7145,8.3945,2804.2853,2837.2162
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",1-4,16.0465,3.0325,10.6628,23.1916
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",5-9,9.3963,2.1011,5.7395,14.5118
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",10-14,12.7991,2.5101,8.3608,18.7536
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",15-19,15.9639,2.8220,10.9193,22.5363
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",20-24,24.7811,3.4365,18.5077,32.4972
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",25-29,33.0455,3.9782,25.7114,41.8212
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",30-34,50.8716,5.2470,41.1094,62.2539
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",35-39,71.5273,6.6127,59.1550,85.7235
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",40-44,92.2279,7.9972,77.2205,109.3005
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",45-49,195.2943,11.8415,172.7728,219.9361
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",50-54,366.3349,16.3017,335.0767,399.7241
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",55-59,562.2297,21.2200,521.4030,605.4039
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",60-64,839.8656,29.2404,783.5258,899.1865
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",65-69,1225.9292,41.4203,1146.0804,1309.8746
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",70-74,1571.3443,58.6013,1458.5717,1690.5217
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",75-79,1676.3245,76.0396,1530.5829,1832.2015
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",80-84,2126.2296,113.9779,1908.6791,2361.7823
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",85+,1939.9351,125.4840,1701.7668,2202.1056
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",<1,29.4919,2.8379,24.1928,35.6068
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",1-4,22.9524,1.2321,20.6007,25.4990
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",5-9,12.2918,0.8035,10.7672,13.9718
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",10-14,15.4916,0.9020,13.7740,17.3641
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",15-19,20.5061,1.0357,18.5262,22.6401
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",20-24,28.5591,1.1460,26.3568,30.8964
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",25-29,33.3785,1.1349,31.1909,35.6791
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",30-34,48.3048,1.3887,45.6211,51.1052
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",35-39,70.4081,1.7488,67.0219,73.9210
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",40-44,103.6500,2.1721,99.4360,107.9967
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",45-49,173.1272,2.9037,167.4824,178.9138
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",50-54,315.1144,4.0783,307.1712,323.2111
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",55-59,507.7332,5.4075,497.1893,518.4444
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",60-64,796.0067,7.3232,781.7174,810.4916
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",65-69,1184.5816,9.9496,1165.1601,1204.2457
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",70-74,1428.9620,13.1474,1403.3083,1454.9669
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",75-79,1728.0429,17.2322,1694.4314,1762.1535
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",80-84,1874.2874,22.2156,1830.9956,1918.3443
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",85+,1834.2411,22.7984,1789.8261,1879.4796
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",<1,18.9934,1.8276,15.5806,22.9314
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",1-4,16.2707,0.8391,14.6675,18.0014
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",5-9,9.8694,0.5786,8.7679,11.0710
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",10-14,13.9152,0.6889,12.5976,15.3332
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",15-19,17.8457,0.7672,16.3734,19.4148
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",20-24,21.3060,0.8013,19.7643,22.9361
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",25-29,33.8985,1.0221,31.9246,35.9625
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",30-34,54.2853,1.4125,51.5518,57.1261
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",35-39,83.6675,1.8359,80.1076,87.3449
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",40-44,149.9030,2.5506,144.9451,154.9873
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",45-49,293.3835,3.5162,286.5320,300.3575
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",50-54,625.0975,5.0919,615.1569,635.1584
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",55-59,1094.5747,6.9896,1080.9177,1108.3611
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",60-64,1701.7510,9.7982,1682.6005,1721.0651
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",65-69,2353.3816,13.4635,2327.0666,2379.9199
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",70-74,2501.9661,17.1884,2468.3894,2535.8854
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",75-79,2580.4850,21.6268,2538.2692,2623.2268
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",80-84,2470.6229,27.1072,2417.7760,2524.3337
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",85+,2249.9598,29.0058,2193.4645,2307.5421
Male,"Hispanic (any race)","Observed SEER Incidence Rate",<1,24.0435,1.4578,21.2707,27.0772
Male,"Hispanic (any race)","Observed SEER Incidence Rate",1-4,22.6526,0.7011,21.2991,24.0694
Male,"Hispanic (any race)","Observed SEER Incidence Rate",5-9,15.0695,0.5077,14.0907,16.0984
Male,"Hispanic (any race)","Observed SEER Incidence Rate",10-14,16.7963,0.5473,15.7407,17.9041
Male,"Hispanic (any race)","Observed SEER Incidence Rate",15-19,26.1580,0.6920,24.8192,27.5502
Male,"Hispanic (any race)","Observed SEER Incidence Rate",20-24,38.2899,0.8201,36.6993,39.9317
Male,"Hispanic (any race)","Observed SEER Incidence Rate",25-29,45.4304,0.8960,43.6912,47.2212
Male,"Hispanic (any race)","Observed SEER Incidence Rate",30-34,57.8886,1.0441,55.8601,59.9719
Male,"Hispanic (any race)","Observed SEER Incidence Rate",35-39,75.2201,1.2333,72.8221,77.6769
Male,"Hispanic (any race)","Observed SEER Incidence Rate",40-44,110.1407,1.5682,107.0884,113.2580
Male,"Hispanic (any race)","Observed SEER Incidence Rate",45-49,181.2301,2.0960,177.1450,185.3856
Male,"Hispanic (any race)","Observed SEER Incidence Rate",50-54,359.6147,3.1700,353.4281,365.8825
Male,"Hispanic (any race)","Observed SEER Incidence Rate",55-59,629.8943,4.6731,620.7682,639.1211
Male,"Hispanic (any race)","Observed SEER Incidence Rate",60-64,1003.4785,6.8648,990.0683,1017.0249
Male,"Hispanic (any race)","Observed SEER Incidence Rate",65-69,1485.9042,9.9629,1466.4406,1505.5614
Male,"Hispanic (any race)","Observed SEER Incidence Rate",70-74,1807.5278,13.5970,1780.9752,1834.3771
Male,"Hispanic (any race)","Observed SEER Incidence Rate",75-79,2103.3342,18.0353,2068.1324,2138.9848
Male,"Hispanic (any race)","Observed SEER Incidence Rate",80-84,2261.2090,23.2007,2215.9623,2307.1471
Male,"Hispanic (any race)","Observed SEER Incidence Rate",85+,2207.7350,24.8060,2159.3807,2256.8991
Male,"Non-Hispanic White","Observed SEER Incidence Rate",<1,31.4200,1.3584,28.8137,34.1989
Male,"Non-Hispanic White","Observed SEER Incidence Rate",1-4,25.1841,0.6069,24.0086,26.4024
Male,"Non-Hispanic White","Observed SEER Incidence Rate",5-9,15.7944,0.4267,14.9690,16.6535
Male,"Non-Hispanic White","Observed SEER Incidence Rate",10-14,17.3973,0.4366,16.5521,18.2746
Male,"Non-Hispanic White","Observed SEER Incidence Rate",15-19,27.2438,0.5333,26.2086,28.3095
Male,"Non-Hispanic White","Observed SEER Incidence Rate",20-24,41.7507,0.6362,40.5130,43.0166
Male,"Non-Hispanic White","Observed SEER Incidence Rate",25-29,60.2983,0.7444,58.8479,61.7753
Male,"Non-Hispanic White","Observed SEER Incidence Rate",30-34,85.2850,0.9044,83.5215,87.0764
Male,"Non-Hispanic White","Observed SEER Incidence Rate",35-39,115.1820,1.0847,113.0656,117.3280
Male,"Non-Hispanic White","Observed SEER Incidence Rate",40-44,169.4556,1.3351,166.8488,172.0929
Male,"Non-Hispanic White","Observed SEER Incidence Rate",45-49,287.6794,1.6386,284.4766,290.9092
Male,"Non-Hispanic White","Observed SEER Incidence Rate",50-54,545.0689,2.1436,540.8756,549.2867
Male,"Non-Hispanic White","Observed SEER Incidence Rate",55-59,900.9209,2.6987,895.6392,906.2259
Male,"Non-Hispanic White","Observed SEER Incidence Rate",60-64,1369.0974,3.5007,1362.2447,1375.9760
Male,"Non-Hispanic White","Observed SEER Incidence Rate",65-69,1964.0445,4.5574,1955.1222,1972.9973
Male,"Non-Hispanic White","Observed SEER Incidence Rate",70-74,2431.4974,5.9386,2419.8717,2443.1651
Male,"Non-Hispanic White","Observed SEER Incidence Rate",75-79,2843.5088,7.8506,2828.1424,2858.9380
Male,"Non-Hispanic White","Observed SEER Incidence Rate",80-84,3097.0546,9.9798,3077.5251,3116.6772
Male,"Non-Hispanic White","Observed SEER Incidence Rate",85+,3026.5911,9.9938,3007.0348,3046.2429
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",<1,28.4559,1.0288,26.4749,30.5458
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",1-4,24.6353,0.4764,23.7103,25.5871
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",5-9,15.8770,0.3401,15.2173,16.5580
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",10-14,17.4373,0.3532,16.7519,18.1435
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",15-19,27.3227,0.4367,26.4734,28.1922
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",20-24,41.2557,0.5197,40.2433,42.2872
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",25-29,56.3404,0.5971,55.1761,57.5231
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",30-34,77.4011,0.7166,76.0028,78.8187
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",35-39,103.0932,0.8540,101.4261,104.7809
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",40-44,152.1257,1.0623,150.0506,154.2223
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",45-49,260.5602,1.3458,257.9290,263.2114
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",50-54,505.6161,1.8334,502.0290,509.2224
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",55-59,854.1655,2.3919,849.4837,858.8666
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",60-64,1314.5076,3.1722,1308.2974,1320.7400
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",65-69,1903.1792,4.1999,1894.9563,1911.4290
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",70-74,2359.4486,5.5105,2348.6604,2370.2741
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",75-79,2759.9183,7.2882,2745.6519,2774.2405
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",80-84,3007.8066,9.2825,2989.6404,3026.0557
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",85+,2951.3951,9.3754,2933.0479,2969.8285
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,26.9143,0.6147,25.7228,28.1466
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,23.0239,0.2824,22.4738,23.5841
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,13.8991,0.1948,13.5198,14.2863
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,16.6030,0.2115,16.1910,17.0229
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,25.5288,0.2593,25.0231,26.0420
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,39.5844,0.3116,38.9759,40.2000
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,62.6488,0.3831,61.9002,63.4042
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,101.1759,0.5002,100.1979,102.1611
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,150.1470,0.6281,148.9185,151.3831
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,234.8358,0.8028,233.2650,236.4145
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,362.3143,0.9742,360.4073,364.2288
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,577.3343,1.2096,574.9659,579.7100
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,844.4984,1.4741,841.6116,847.3926
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,1200.5717,1.8772,1196.8952,1204.2566
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,1642.8115,2.4133,1638.0849,1647.5483
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,1983.6007,3.1073,1977.5151,1989.7003
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,2247.2180,3.9615,2239.4603,2254.9958
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,2365.7706,4.8338,2356.3060,2375.2637
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,2173.0530,4.3733,2164.4898,2181.6416
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,16.9095,2.3035,12.6988,22.0416
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,8.6731,1.4888,6.0042,12.1011
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,10.9720,1.7155,7.8705,14.8638
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,14.2901,1.9837,10.6691,18.7164
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,25.4189,2.5831,20.6092,30.9916
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,41.4399,3.3208,35.1869,48.4622
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,85.2245,5.0439,75.6244,95.6823
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,116.7732,6.2475,104.8478,129.6552
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,161.7966,7.8000,146.8681,177.7995
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,267.8435,10.1761,248.2674,288.5223
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,443.7653,13.0070,418.6349,469.9813
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,613.7383,15.9344,582.9010,645.7521
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,902.0519,21.5831,860.2411,945.3292
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,1174.5390,28.6731,1119.0066,1232.0593
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,1481.5824,39.6784,1404.8254,1561.3570
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,1626.5072,51.3555,1527.3967,1730.2309
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,1895.1637,70.8894,1758.7514,2039.1397
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,1687.7104,72.8225,1547.9799,1836.4085
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,29.4183,2.0702,25.5004,33.7626
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,23.1435,0.9024,21.4085,24.9805
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,11.9258,0.5759,10.8237,13.1087
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,14.6576,0.6356,13.4381,15.9570
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,21.2861,0.7637,19.8153,22.8362
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,30.8750,0.8635,29.2056,32.6141
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,45.1515,0.9432,43.3215,47.0383
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,75.5630,1.2229,73.1850,77.9981
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,121.7619,1.6046,118.6371,124.9475
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,200.2729,2.1001,196.1778,204.4314
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,305.8965,2.6860,300.6544,311.2064
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,436.9527,3.3415,430.4278,443.5509
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,578.9014,3.9955,571.0966,586.7854
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,803.0365,5.0444,793.1796,812.9842
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,1078.2463,6.4810,1065.5806,1091.0235
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,1262.1619,8.4124,1245.7270,1278.7574
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,1451.4980,10.6534,1430.6918,1472.5284
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,1587.0185,13.4099,1560.8429,1613.5190
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,1512.8511,12.7937,1487.8786,1538.1341
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,21.5176,1.4038,18.8540,24.4497
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,16.5046,0.6101,15.3303,17.7443
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,10.4286,0.4290,9.6045,11.3039
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,13.1183,0.4830,12.1887,14.0996
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,17.8588,0.5538,16.7896,18.9777
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,24.5918,0.6207,23.3902,25.8388
"Both Sexes","Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,43.3382,0.8265,41.7332,44.9886
